"","State","Industry","Code","Month","Change"
"586","Arizona","Trade, transportation, and utilities","AZ","Apr",-57
"587","Arkansas","Trade, transportation, and utilities","AR","Apr",-12
"588","California","Trade, transportation, and utilities","CA","Apr",-389
"589","Colorado","Trade, transportation, and utilities","CO","Apr",-42
"590","Connecticut","Trade, transportation, and utilities","CT","Apr",-51
"591","Delaware","Trade, transportation, and utilities","DE","Apr",-13
"592","District of Columbia","Trade, transportation, and utilities","DC","Apr",-6
"593","Florida","Trade, transportation, and utilities","FL","Apr",-164
"594","Georgia","Trade, transportation, and utilities","GA","Apr",-41
"595","Hawaii","Trade, transportation, and utilities","HI","Apr",-16
"596","Idaho","Trade, transportation, and utilities","ID","Apr",-8
"597","Illinois","Trade, transportation, and utilities","IL","Apr",-100
"598","Indiana","Trade, transportation, and utilities","IN","Apr",-42
"599","Iowa","Trade, transportation, and utilities","IA","Apr",-22
"600","Kansas","Trade, transportation, and utilities","KS","Apr",-11
"601","Kentucky","Trade, transportation, and utilities","KY","Apr",-43
"602","Louisiana","Trade, transportation, and utilities","LA","Apr",-38
"603","Maine","Trade, transportation, and utilities","ME","Apr",-14
"604","Maryland","Trade, transportation, and utilities","MD","Apr",-56
"605","Massachusetts","Trade, transportation, and utilities","MA","Apr",-112
"606","Michigan","Trade, transportation, and utilities","MI","Apr",-160
"607","Minnesota","Trade, transportation, and utilities","MN","Apr",-39
"608","Mississippi","Trade, transportation, and utilities","MS","Apr",-14
"609","Missouri","Trade, transportation, and utilities","MO","Apr",-42
"610","Montana","Trade, transportation, and utilities","MT","Apr",-9
"611","Nebraska","Trade, transportation, and utilities","NE","Apr",-14
"612","Nevada","Trade, transportation, and utilities","NV","Apr",-35
"613","New Hampshire","Trade, transportation, and utilities","NH","Apr",-23
"614","New Jersey","Trade, transportation, and utilities","NJ","Apr",-158
"615","New Mexico","Trade, transportation, and utilities","NM","Apr",-12
"616","New York","Trade, transportation, and utilities","NY","Apr",-340
"617","North Carolina","Trade, transportation, and utilities","NC","Apr",-63
"618","North Dakota","Trade, transportation, and utilities","ND","Apr",-6
"619","Ohio","Trade, transportation, and utilities","OH","Apr",-116
"620","Oklahoma","Trade, transportation, and utilities","OK","Apr",-19
"621","Oregon","Trade, transportation, and utilities","OR","Apr",-29
"622","Pennsylvania","Trade, transportation, and utilities","PA","Apr",-189
"623","Puerto Rico","Trade, transportation, and utilities",NA,"Apr",-25
"624","Rhode Island","Trade, transportation, and utilities","RI","Apr",-12
"625","South Carolina","Trade, transportation, and utilities","SC","Apr",-28
"626","South Dakota","Trade, transportation, and utilities","SD","Apr",-6
"627","Tennessee","Trade, transportation, and utilities","TN","Apr",-39
"628","Texas","Trade, transportation, and utilities","TX","Apr",-174
"629","Utah","Trade, transportation, and utilities","UT","Apr",-22
"630","Vermont","Trade, transportation, and utilities","VT","Apr",-10
"631","Virgin Islands","Trade, transportation, and utilities",NA,"Apr",-1
"632","Virginia","Trade, transportation, and utilities","VA","Apr",-49
"633","Washington","Trade, transportation, and utilities","WA","Apr",-67
"634","West Virginia","Trade, transportation, and utilities","WV","Apr",-14
"635","Wisconsin","Trade, transportation, and utilities","WI","Apr",-53
"636","Wyoming","Trade, transportation, and utilities","WY","Apr",-2
"637","Alabama","Trade, transportation, and utilities","AL","May",6
"638","Alaska","Trade, transportation, and utilities","AK","May",0
"639","Arizona","Trade, transportation, and utilities","AZ","May",35
"640","Arkansas","Trade, transportation, and utilities","AR","May",5
"641","California","Trade, transportation, and utilities","CA","May",17
"642","Colorado","Trade, transportation, and utilities","CO","May",3
"643","Connecticut","Trade, transportation, and utilities","CT","May",6
"644","Delaware","Trade, transportation, and utilities","DE","May",0
"645","District of Columbia","Trade, transportation, and utilities","DC","May",2
"646","Florida","Trade, transportation, and utilities","FL","May",28
"647","Georgia","Trade, transportation, and utilities","GA","May",0
"648","Hawaii","Trade, transportation, and utilities","HI","May",-1
"649","Idaho","Trade, transportation, and utilities","ID","May",3
"650","Illinois","Trade, transportation, and utilities","IL","May",7
"651","Indiana","Trade, transportation, and utilities","IN","May",4
"652","Iowa","Trade, transportation, and utilities","IA","May",9
"653","Kansas","Trade, transportation, and utilities","KS","May",2
"654","Kentucky","Trade, transportation, and utilities","KY","May",2
"655","Louisiana","Trade, transportation, and utilities","LA","May",4
"656","Maine","Trade, transportation, and utilities","ME","May",4
"657","Maryland","Trade, transportation, and utilities","MD","May",-3
"658","Massachusetts","Trade, transportation, and utilities","MA","May",-3
"659","Michigan","Trade, transportation, and utilities","MI","May",44
"660","Minnesota","Trade, transportation, and utilities","MN","May",7
"661","Mississippi","Trade, transportation, and utilities","MS","May",6
"662","Missouri","Trade, transportation, and utilities","MO","May",-3
"663","Montana","Trade, transportation, and utilities","MT","May",2
"664","Nebraska","Trade, transportation, and utilities","NE","May",6
"665","Nevada","Trade, transportation, and utilities","NV","May",-1
"666","New Hampshire","Trade, transportation, and utilities","NH","May",-2
"667","New Jersey","Trade, transportation, and utilities","NJ","May",22
"668","New Mexico","Trade, transportation, and utilities","NM","May",-1
"669","New York","Trade, transportation, and utilities","NY","May",22
"670","North Carolina","Trade, transportation, and utilities","NC","May",10
"671","North Dakota","Trade, transportation, and utilities","ND","May",1
"672","Ohio","Trade, transportation, and utilities","OH","May",26
"673","Oklahoma","Trade, transportation, and utilities","OK","May",6
"674","Oregon","Trade, transportation, and utilities","OR","May",7
"675","Pennsylvania","Trade, transportation, and utilities","PA","May",37
"676","Puerto Rico","Trade, transportation, and utilities",NA,"May",-3
"677","Rhode Island","Trade, transportation, and utilities","RI","May",0
"678","South Carolina","Trade, transportation, and utilities","SC","May",7
"679","South Dakota","Trade, transportation, and utilities","SD","May",0
"680","Tennessee","Trade, transportation, and utilities","TN","May",4
"681","Texas","Trade, transportation, and utilities","TX","May",11
"682","Utah","Trade, transportation, and utilities","UT","May",10
"683","Vermont","Trade, transportation, and utilities","VT","May",3
"684","Virgin Islands","Trade, transportation, and utilities",NA,"May",0
"685","Virginia","Trade, transportation, and utilities","VA","May",-3
"686","Washington","Trade, transportation, and utilities","WA","May",11
"687","West Virginia","Trade, transportation, and utilities","WV","May",3
"688","Wisconsin","Trade, transportation, and utilities","WI","May",9
"689","Wyoming","Trade, transportation, and utilities","WY","May",1
"690","Alabama","Trade, transportation, and utilities","AL","Jun",8
"691","Alaska","Trade, transportation, and utilities","AK","Jun",0
"692","Arizona","Trade, transportation, and utilities","AZ","Jun",13
"693","Arkansas","Trade, transportation, and utilities","AR","Jun",7
"694","California","Trade, transportation, and utilities","CA","Jun",97
"695","Colorado","Trade, transportation, and utilities","CO","Jun",9
"696","Connecticut","Trade, transportation, and utilities","CT","Jun",19
"697","Delaware","Trade, transportation, and utilities","DE","Jun",4
"698","District of Columbia","Trade, transportation, and utilities","DC","Jun",0
"699","Florida","Trade, transportation, and utilities","FL","Jun",54
"700","Georgia","Trade, transportation, and utilities","GA","Jun",21
"701","Hawaii","Trade, transportation, and utilities","HI","Jun",1
"702","Idaho","Trade, transportation, and utilities","ID","Jun",5
"703","Illinois","Trade, transportation, and utilities","IL","Jun",41
"704","Indiana","Trade, transportation, and utilities","IN","Jun",17
"705","Iowa","Trade, transportation, and utilities","IA","Jun",6
"706","Kansas","Trade, transportation, and utilities","KS","Jun",4
"707","Kentucky","Trade, transportation, and utilities","KY","Jun",19
"708","Louisiana","Trade, transportation, and utilities","LA","Jun",14
"709","Maine","Trade, transportation, and utilities","ME","Jun",5
"710","Maryland","Trade, transportation, and utilities","MD","Jun",15
"711","Massachusetts","Trade, transportation, and utilities","MA","Jun",28
"712","Michigan","Trade, transportation, and utilities","MI","Jun",49
"713","Minnesota","Trade, transportation, and utilities","MN","Jun",19
"714","Mississippi","Trade, transportation, and utilities","MS","Jun",4
"715","Missouri","Trade, transportation, and utilities","MO","Jun",20
"716","Montana","Trade, transportation, and utilities","MT","Jun",3
"717","Nebraska","Trade, transportation, and utilities","NE","Jun",8
"718","Nevada","Trade, transportation, and utilities","NV","Jun",14
"719","New Hampshire","Trade, transportation, and utilities","NH","Jun",6
"720","New Jersey","Trade, transportation, and utilities","NJ","Jun",42
"721","New Mexico","Trade, transportation, and utilities","NM","Jun",6
"722","New York","Trade, transportation, and utilities","NY","Jun",68
"723","North Carolina","Trade, transportation, and utilities","NC","Jun",23
"724","North Dakota","Trade, transportation, and utilities","ND","Jun",-2
"725","Ohio","Trade, transportation, and utilities","OH","Jun",30
"726","Oklahoma","Trade, transportation, and utilities","OK","Jun",4
"727","Oregon","Trade, transportation, and utilities","OR","Jun",7
"728","Pennsylvania","Trade, transportation, and utilities","PA","Jun",41
"729","Puerto Rico","Trade, transportation, and utilities",NA,"Jun",8
"730","Rhode Island","Trade, transportation, and utilities","RI","Jun",4
"731","South Carolina","Trade, transportation, and utilities","SC","Jun",12
"732","South Dakota","Trade, transportation, and utilities","SD","Jun",2
"733","Tennessee","Trade, transportation, and utilities","TN","Jun",11
"734","Texas","Trade, transportation, and utilities","TX","Jun",44
"735","Utah","Trade, transportation, and utilities","UT","Jun",8
"736","Vermont","Trade, transportation, and utilities","VT","Jun",4
"737","Virgin Islands","Trade, transportation, and utilities",NA,"Jun",0
"738","Virginia","Trade, transportation, and utilities","VA","Jun",19
"739","Washington","Trade, transportation, and utilities","WA","Jun",29
"740","West Virginia","Trade, transportation, and utilities","WV","Jun",4
"741","Wisconsin","Trade, transportation, and utilities","WI","Jun",21
"742","Wyoming","Trade, transportation, and utilities","WY","Jun",1
"743","Alabama","Trade, transportation, and utilities","AL","Jul",-2
"744","Alaska","Trade, transportation, and utilities","AK","Jul",-1
"745","Arizona","Trade, transportation, and utilities","AZ","Jul",2
"746","Arkansas","Trade, transportation, and utilities","AR","Jul",1
"747","California","Trade, transportation, and utilities","CA","Jul",47
"748","Colorado","Trade, transportation, and utilities","CO","Jul",6
"749","Connecticut","Trade, transportation, and utilities","CT","Jul",6
"750","Delaware","Trade, transportation, and utilities","DE","Jul",1
"751","District of Columbia","Trade, transportation, and utilities","DC","Jul",2
"752","Florida","Trade, transportation, and utilities","FL","Jul",15
"753","Georgia","Trade, transportation, and utilities","GA","Jul",-1
"754","Hawaii","Trade, transportation, and utilities","HI","Jul",-1
"755","Idaho","Trade, transportation, and utilities","ID","Jul",0
"756","Illinois","Trade, transportation, and utilities","IL","Jul",-1
"757","Indiana","Trade, transportation, and utilities","IN","Jul",0
"758","Iowa","Trade, transportation, and utilities","IA","Jul",0
"759","Kansas","Trade, transportation, and utilities","KS","Jul",1
"760","Kentucky","Trade, transportation, and utilities","KY","Jul",2
"761","Louisiana","Trade, transportation, and utilities","LA","Jul",4
"762","Maine","Trade, transportation, and utilities","ME","Jul",1
"763","Maryland","Trade, transportation, and utilities","MD","Jul",9
"764","Massachusetts","Trade, transportation, and utilities","MA","Jul",15
"765","Michigan","Trade, transportation, and utilities","MI","Jul",6
"766","Minnesota","Trade, transportation, and utilities","MN","Jul",-1
"767","Mississippi","Trade, transportation, and utilities","MS","Jul",-1
"768","Missouri","Trade, transportation, and utilities","MO","Jul",6
"769","Montana","Trade, transportation, and utilities","MT","Jul",-1
"770","Nebraska","Trade, transportation, and utilities","NE","Jul",-1
"771","Nevada","Trade, transportation, and utilities","NV","Jul",2
"772","New Hampshire","Trade, transportation, and utilities","NH","Jul",3
"773","New Jersey","Trade, transportation, and utilities","NJ","Jul",33
"774","New Mexico","Trade, transportation, and utilities","NM","Jul",1
"775","New York","Trade, transportation, and utilities","NY","Jul",54
"776","North Carolina","Trade, transportation, and utilities","NC","Jul",5
"777","North Dakota","Trade, transportation, and utilities","ND","Jul",0
"778","Ohio","Trade, transportation, and utilities","OH","Jul",3
"779","Oklahoma","Trade, transportation, and utilities","OK","Jul",-3
"780","Oregon","Trade, transportation, and utilities","OR","Jul",3
"781","Pennsylvania","Trade, transportation, and utilities","PA","Jul",0
"782","Puerto Rico","Trade, transportation, and utilities",NA,"Jul",2
"783","Rhode Island","Trade, transportation, and utilities","RI","Jul",1
"784","South Carolina","Trade, transportation, and utilities","SC","Jul",-8
"785","South Dakota","Trade, transportation, and utilities","SD","Jul",0
"786","Tennessee","Trade, transportation, and utilities","TN","Jul",2
"787","Texas","Trade, transportation, and utilities","TX","Jul",-12
"788","Utah","Trade, transportation, and utilities","UT","Jul",1
"789","Vermont","Trade, transportation, and utilities","VT","Jul",0
"790","Virgin Islands","Trade, transportation, and utilities",NA,"Jul",0
"791","Virginia","Trade, transportation, and utilities","VA","Jul",4
"792","Washington","Trade, transportation, and utilities","WA","Jul",5
"793","West Virginia","Trade, transportation, and utilities","WV","Jul",0
"794","Wisconsin","Trade, transportation, and utilities","WI","Jul",-1
"795","Wyoming","Trade, transportation, and utilities","WY","Jul",-1
"796","Alabama","Financial activities","AL","Mar",-1
"797","Alaska","Financial activities","AK","Mar",0
"798","Arizona","Financial activities","AZ","Mar",-1
"799","Arkansas","Financial activities","AR","Mar",0
"800","California","Financial activities","CA","Mar",1
"801","Colorado","Financial activities","CO","Mar",1
"802","Connecticut","Financial activities","CT","Mar",-1
"803","Delaware","Financial activities","DE","Mar",-1
"804","District of Columbia","Financial activities","DC","Mar",0
"805","Florida","Financial activities","FL","Mar",1
"806","Georgia","Financial activities","GA","Mar",0
"807","Hawaii","Financial activities","HI","Mar",-1
"808","Idaho","Financial activities","ID","Mar",0
"809","Illinois","Financial activities","IL","Mar",-2
"810","Indiana","Financial activities","IN","Mar",-1
"811","Iowa","Financial activities","IA","Mar",0
"812","Kansas","Financial activities","KS","Mar",-1
"813","Kentucky","Financial activities","KY","Mar",1
"814","Louisiana","Financial activities","LA","Mar",0
"815","Maine","Financial activities","ME","Mar",0
"816","Maryland","Financial activities","MD","Mar",-1
"817","Massachusetts","Financial activities","MA","Mar",0
"818","Michigan","Financial activities","MI","Mar",1
"819","Minnesota","Financial activities","MN","Mar",-1
"820","Mississippi","Financial activities","MS","Mar",0
"821","Missouri","Financial activities","MO","Mar",-1
"822","Montana","Financial activities","MT","Mar",1
"823","Nebraska","Financial activities","NE","Mar",0
"824","Nevada","Financial activities","NV","Mar",-2
"825","New Hampshire","Financial activities","NH","Mar",0
"826","New Jersey","Financial activities","NJ","Mar",-3
"827","New Mexico","Financial activities","NM","Mar",0
"828","New York","Financial activities","NY","Mar",-17
"829","North Carolina","Financial activities","NC","Mar",0
"830","North Dakota","Financial activities","ND","Mar",0
"831","Ohio","Financial activities","OH","Mar",-1
"832","Oklahoma","Financial activities","OK","Mar",-1
"833","Oregon","Financial activities","OR","Mar",0
"834","Pennsylvania","Financial activities","PA","Mar",2
"835","Puerto Rico","Financial activities",NA,"Mar",0
"836","Rhode Island","Financial activities","RI","Mar",0
"837","South Carolina","Financial activities","SC","Mar",-1
"838","South Dakota","Financial activities","SD","Mar",0
"839","Tennessee","Financial activities","TN","Mar",3
"840","Texas","Financial activities","TX","Mar",3
"841","Utah","Financial activities","UT","Mar",0
"842","Vermont","Financial activities","VT","Mar",0
"843","Virgin Islands","Financial activities",NA,"Mar",NA
"844","Virginia","Financial activities","VA","Mar",2
"845","Washington","Financial activities","WA","Mar",-1
"846","West Virginia","Financial activities","WV","Mar",0
"847","Wisconsin","Financial activities","WI","Mar",-1
"848","Wyoming","Financial activities","WY","Mar",0
"849","Alabama","Financial activities","AL","Apr",-3
"850","Alaska","Financial activities","AK","Apr",-1
"851","Arizona","Financial activities","AZ","Apr",-2
"852","Arkansas","Financial activities","AR","Apr",-1
"853","California","Financial activities","CA","Apr",-31
"854","Colorado","Financial activities","CO","Apr",-6
"855","Connecticut","Financial activities","CT","Apr",-3
"856","Delaware","Financial activities","DE","Apr",0
"857","District of Columbia","Financial activities","DC","Apr",-1
"858","Florida","Financial activities","FL","Apr",-26
"859","Georgia","Financial activities","GA","Apr",-14
"860","Hawaii","Financial activities","HI","Apr",-1
"861","Idaho","Financial activities","ID","Apr",0
"862","Illinois","Financial activities","IL","Apr",-9
"863","Indiana","Financial activities","IN","Apr",-3
"864","Iowa","Financial activities","IA","Apr",-2
"865","Kansas","Financial activities","KS","Apr",0
"866","Kentucky","Financial activities","KY","Apr",-2
"867","Louisiana","Financial activities","LA","Apr",-5
"868","Maine","Financial activities","ME","Apr",-1
"869","Maryland","Financial activities","MD","Apr",-9
"870","Massachusetts","Financial activities","MA","Apr",-6
"871","Michigan","Financial activities","MI","Apr",-15
"872","Minnesota","Financial activities","MN","Apr",-3
"873","Mississippi","Financial activities","MS","Apr",-1
"874","Missouri","Financial activities","MO","Apr",-4
"875","Montana","Financial activities","MT","Apr",-1
"876","Nebraska","Financial activities","NE","Apr",0
"877","Nevada","Financial activities","NV","Apr",0
"878","New Hampshire","Financial activities","NH","Apr",-1
"879","New Jersey","Financial activities","NJ","Apr",-13
"880","New Mexico","Financial activities","NM","Apr",-3
"881","New York","Financial activities","NY","Apr",-17
"882","North Carolina","Financial activities","NC","Apr",-9
"883","North Dakota","Financial activities","ND","Apr",0
"884","Ohio","Financial activities","OH","Apr",-12
"885","Oklahoma","Financial activities","OK","Apr",1
"886","Oregon","Financial activities","OR","Apr",-6
"887","Pennsylvania","Financial activities","PA","Apr",-7
"888","Puerto Rico","Financial activities",NA,"Apr",-2
"889","Rhode Island","Financial activities","RI","Apr",-2
"890","South Carolina","Financial activities","SC","Apr",-5
"891","South Dakota","Financial activities","SD","Apr",0
"892","Tennessee","Financial activities","TN","Apr",-7
"893","Texas","Financial activities","TX","Apr",-16
"894","Utah","Financial activities","UT","Apr",-5
"895","Vermont","Financial activities","VT","Apr",-1
"896","Virgin Islands","Financial activities",NA,"Apr",NA
"897","Virginia","Financial activities","VA","Apr",-5
"898","Washington","Financial activities","WA","Apr",-8
"899","West Virginia","Financial activities","WV","Apr",-2
"900","Wisconsin","Financial activities","WI","Apr",-3
"901","Wyoming","Financial activities","WY","Apr",0
"902","Alabama","Financial activities","AL","May",1
"903","Alaska","Financial activities","AK","May",0
"904","Arizona","Financial activities","AZ","May",1
"905","Arkansas","Financial activities","AR","May",0
"906","California","Financial activities","CA","May",5
"907","Colorado","Financial activities","CO","May",2
"908","Connecticut","Financial activities","CT","May",-1
"909","Delaware","Financial activities","DE","May",-1
"910","District of Columbia","Financial activities","DC","May",1
"911","Florida","Financial activities","FL","May",2
"912","Georgia","Financial activities","GA","May",6
"913","Hawaii","Financial activities","HI","May",0
"914","Idaho","Financial activities","ID","May",1
"915","Illinois","Financial activities","IL","May",-1
"916","Indiana","Financial activities","IN","May",-1
"917","Iowa","Financial activities","IA","May",0
"918","Kansas","Financial activities","KS","May",-1
"919","Kentucky","Financial activities","KY","May",-4
"920","Louisiana","Financial activities","LA","May",2
"921","Maine","Financial activities","ME","May",0
"922","Maryland","Financial activities","MD","May",4
"923","Massachusetts","Financial activities","MA","May",1
"924","Michigan","Financial activities","MI","May",3
"925","Minnesota","Financial activities","MN","May",0
"926","Mississippi","Financial activities","MS","May",0
"927","Missouri","Financial activities","MO","May",0
"928","Montana","Financial activities","MT","May",-1
"929","Nebraska","Financial activities","NE","May",-1
"930","Nevada","Financial activities","NV","May",-1
"931","New Hampshire","Financial activities","NH","May",0
"932","New Jersey","Financial activities","NJ","May",0
"933","New Mexico","Financial activities","NM","May",1
"934","New York","Financial activities","NY","May",-1
"935","North Carolina","Financial activities","NC","May",1
"936","North Dakota","Financial activities","ND","May",-1
"937","Ohio","Financial activities","OH","May",2
"938","Oklahoma","Financial activities","OK","May",-2
"939","Oregon","Financial activities","OR","May",-1
"940","Pennsylvania","Financial activities","PA","May",-2
"941","Puerto Rico","Financial activities",NA,"May",0
"942","Rhode Island","Financial activities","RI","May",0
"943","South Carolina","Financial activities","SC","May",4
"944","South Dakota","Financial activities","SD","May",0
"945","Tennessee","Financial activities","TN","May",2
"946","Texas","Financial activities","TX","May",-4
"947","Utah","Financial activities","UT","May",4
"948","Vermont","Financial activities","VT","May",0
"949","Virgin Islands","Financial activities",NA,"May",NA
"950","Virginia","Financial activities","VA","May",-2
"951","Washington","Financial activities","WA","May",1
"952","West Virginia","Financial activities","WV","May",0
"953","Wisconsin","Financial activities","WI","May",-1
"954","Wyoming","Financial activities","WY","May",0
"955","Alabama","Financial activities","AL","Jun",3
"956","Alaska","Financial activities","AK","Jun",0
"957","Arizona","Financial activities","AZ","Jun",0
"958","Arkansas","Financial activities","AR","Jun",0
"959","California","Financial activities","CA","Jun",4
"960","Colorado","Financial activities","CO","Jun",-2
"961","Connecticut","Financial activities","CT","Jun",-1
"962","Delaware","Financial activities","DE","Jun",0
"963","District of Columbia","Financial activities","DC","Jun",-1
"964","Florida","Financial activities","FL","Jun",10
"965","Georgia","Financial activities","GA","Jun",2
"966","Hawaii","Financial activities","HI","Jun",0
"967","Idaho","Financial activities","ID","Jun",1
"968","Illinois","Financial activities","IL","Jun",-1
"969","Indiana","Financial activities","IN","Jun",0
"970","Iowa","Financial activities","IA","Jun",-1
"971","Kansas","Financial activities","KS","Jun",0
"972","Kentucky","Financial activities","KY","Jun",1
"973","Louisiana","Financial activities","LA","Jun",0
"974","Maine","Financial activities","ME","Jun",0
"975","Maryland","Financial activities","MD","Jun",-1
"976","Massachusetts","Financial activities","MA","Jun",-2
"977","Michigan","Financial activities","MI","Jun",2
"978","Minnesota","Financial activities","MN","Jun",-2
"979","Mississippi","Financial activities","MS","Jun",0
"980","Missouri","Financial activities","MO","Jun",0
"981","Montana","Financial activities","MT","Jun",0
"982","Nebraska","Financial activities","NE","Jun",0
"983","Nevada","Financial activities","NV","Jun",0
"984","New Hampshire","Financial activities","NH","Jun",0
"985","New Jersey","Financial activities","NJ","Jun",0
"986","New Mexico","Financial activities","NM","Jun",0
"987","New York","Financial activities","NY","Jun",-5
"988","North Carolina","Financial activities","NC","Jun",1
"989","North Dakota","Financial activities","ND","Jun",1
"990","Ohio","Financial activities","OH","Jun",-1
"991","Oklahoma","Financial activities","OK","Jun",0
"992","Oregon","Financial activities","OR","Jun",1
"993","Pennsylvania","Financial activities","PA","Jun",0
"994","Puerto Rico","Financial activities",NA,"Jun",0
"995","Rhode Island","Financial activities","RI","Jun",1
"996","South Carolina","Financial activities","SC","Jun",1
"997","South Dakota","Financial activities","SD","Jun",0
"998","Tennessee","Financial activities","TN","Jun",0
"999","Texas","Financial activities","TX","Jun",6
"1000","Utah","Financial activities","UT","Jun",1
"1001","Vermont","Financial activities","VT","Jun",0
"1002","Virgin Islands","Financial activities",NA,"Jun",NA
"1003","Virginia","Financial activities","VA","Jun",-3
"1004","Washington","Financial activities","WA","Jun",3
"1005","West Virginia","Financial activities","WV","Jun",-1
"1006","Wisconsin","Financial activities","WI","Jun",1
"1007","Wyoming","Financial activities","WY","Jun",0
"1008","Alabama","Financial activities","AL","Jul",-1
"1009","Alaska","Financial activities","AK","Jul",0
"1010","Arizona","Financial activities","AZ","Jul",0
"1011","Arkansas","Financial activities","AR","Jul",0
"1012","California","Financial activities","CA","Jul",5
"1013","Colorado","Financial activities","CO","Jul",-1
"1014","Connecticut","Financial activities","CT","Jul",0
"1015","Delaware","Financial activities","DE","Jul",0
"1016","District of Columbia","Financial activities","DC","Jul",0
"1017","Florida","Financial activities","FL","Jul",-1
"1018","Georgia","Financial activities","GA","Jul",-1
"1019","Hawaii","Financial activities","HI","Jul",0
"1020","Idaho","Financial activities","ID","Jul",0
"1021","Illinois","Financial activities","IL","Jul",2
"1022","Indiana","Financial activities","IN","Jul",1
"1023","Iowa","Financial activities","IA","Jul",1
"1024","Kansas","Financial activities","KS","Jul",-1
"1025","Kentucky","Financial activities","KY","Jul",-1
"1026","Louisiana","Financial activities","LA","Jul",1
"1027","Maine","Financial activities","ME","Jul",0
"1028","Maryland","Financial activities","MD","Jul",2
"1029","Massachusetts","Financial activities","MA","Jul",0
"1030","Michigan","Financial activities","MI","Jul",-1
"1031","Minnesota","Financial activities","MN","Jul",1
"1032","Mississippi","Financial activities","MS","Jul",0
"1033","Missouri","Financial activities","MO","Jul",0
"1034","Montana","Financial activities","MT","Jul",0
"1035","Nebraska","Financial activities","NE","Jul",0
"1036","Nevada","Financial activities","NV","Jul",1
"1037","New Hampshire","Financial activities","NH","Jul",1
"1038","New Jersey","Financial activities","NJ","Jul",1
"1039","New Mexico","Financial activities","NM","Jul",0
"1040","New York","Financial activities","NY","Jul",-3
"1041","North Carolina","Financial activities","NC","Jul",-1
"1042","North Dakota","Financial activities","ND","Jul",-1
"1043","Ohio","Financial activities","OH","Jul",-1
"1044","Oklahoma","Financial activities","OK","Jul",1
"1045","Oregon","Financial activities","OR","Jul",1
"1046","Pennsylvania","Financial activities","PA","Jul",3
"1047","Puerto Rico","Financial activities",NA,"Jul",0
"1048","Rhode Island","Financial activities","RI","Jul",1
"1049","South Carolina","Financial activities","SC","Jul",0
"1050","South Dakota","Financial activities","SD","Jul",0
"1051","Tennessee","Financial activities","TN","Jul",2
"1052","Texas","Financial activities","TX","Jul",2
"1053","Utah","Financial activities","UT","Jul",2
"1054","Vermont","Financial activities","VT","Jul",0
"1055","Virgin Islands","Financial activities",NA,"Jul",NA
"1056","Virginia","Financial activities","VA","Jul",-2
"1057","Washington","Financial activities","WA","Jul",3
"1058","West Virginia","Financial activities","WV","Jul",2
"1059","Wisconsin","Financial activities","WI","Jul",-1
"1060","Wyoming","Financial activities","WY","Jul",0
"1061","Alabama","Professional and business services","AL","Mar",-1
"1062","Alaska","Professional and business services","AK","Mar",0
"1063","Arizona","Professional and business services","AZ","Mar",-3
"1064","Arkansas","Professional and business services","AR","Mar",1
"1065","California","Professional and business services","CA","Mar",-24
"1066","Colorado","Professional and business services","CO","Mar",3
"1067","Connecticut","Professional and business services","CT","Mar",2
"1068","Delaware","Professional and business services","DE","Mar",0
"1069","District of Columbia","Professional and business services","DC","Mar",1
"1070","Florida","Professional and business services","FL","Mar",-11
"1071","Georgia","Professional and business services","GA","Mar",-8
"1072","Hawaii","Professional and business services","HI","Mar",0
"1073","Idaho","Professional and business services","ID","Mar",0
"1074","Illinois","Professional and business services","IL","Mar",-12
"1075","Indiana","Professional and business services","IN","Mar",-1
"1076","Iowa","Professional and business services","IA","Mar",-1
"1077","Kansas","Professional and business services","KS","Mar",-2
"1078","Kentucky","Professional and business services","KY","Mar",0
"1079","Louisiana","Professional and business services","LA","Mar",-4
"1080","Maine","Professional and business services","ME","Mar",-1
"1081","Maryland","Professional and business services","MD","Mar",-5
"1082","Massachusetts","Professional and business services","MA","Mar",2
"1083","Michigan","Professional and business services","MI","Mar",-3
"1084","Minnesota","Professional and business services","MN","Mar",-3
"1085","Mississippi","Professional and business services","MS","Mar",1
"1086","Missouri","Professional and business services","MO","Mar",-1
"1087","Montana","Professional and business services","MT","Mar",0
"1088","Nebraska","Professional and business services","NE","Mar",-1
"1089","Nevada","Professional and business services","NV","Mar",-2
"1090","New Hampshire","Professional and business services","NH","Mar",-1
"1091","New Jersey","Professional and business services","NJ","Mar",-10
"1092","New Mexico","Professional and business services","NM","Mar",-1
"1093","New York","Professional and business services","NY","Mar",-2
"1094","North Carolina","Professional and business services","NC","Mar",-2
"1095","North Dakota","Professional and business services","ND","Mar",0
"1096","Ohio","Professional and business services","OH","Mar",-4
"1097","Oklahoma","Professional and business services","OK","Mar",-2
"1098","Oregon","Professional and business services","OR","Mar",-1
"1099","Pennsylvania","Professional and business services","PA","Mar",-6
"1100","Puerto Rico","Professional and business services",NA,"Mar",-3
"1101","Rhode Island","Professional and business services","RI","Mar",-1
"1102","South Carolina","Professional and business services","SC","Mar",-1
"1103","South Dakota","Professional and business services","SD","Mar",0
"1104","Tennessee","Professional and business services","TN","Mar",0
"1105","Texas","Professional and business services","TX","Mar",-7
"1106","Utah","Professional and business services","UT","Mar",1
"1107","Vermont","Professional and business services","VT","Mar",-1
"1108","Virgin Islands","Professional and business services",NA,"Mar",NA
